;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;'속국 해방' 결정들 표시.;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;속국 해방 결정들은 당신이 속국을 해방할 수 있게 해주며, 결정 목록을 흐트러뜨리는 것을 원하지 않는다면 숨길 수 있습니다.;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;'속국 해방' 결정들 숨기기;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;결정 목록에서 숨깁니다!;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;'속국 해방' 결정들 제거;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;'속국 해방' 결정들은 이 게임에서 다시는 나타나지 않습니다.;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_MNP_title;마니푸르 독립 허가;;;;;;;;;;;;x,,
gtfo_MNP_desc;마니푸르에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_BDK_title;바다흐샨 독립 허가;;;;;;;;;;;;x,,
gtfo_BDK_desc;바다흐샨에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_PGG_title;평남 독립 허가;;;;;;;;;;;;x,,
gtfo_PGG_desc;평남에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_SGM_title;지그마링겐 독립 허가;;;;;;;;;;;;x,,
gtfo_SGM_desc;지그마링겐에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_NMB_title;나미비아 독립 허가;;;;;;;;;;;;x,,
gtfo_NMB_desc;나미비아에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_TMR_title;티모르 독립 허가;;;;;;;;;;;;x,,
gtfo_TMR_desc;티모르에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_SLG_title;슬랑오르 독립 허가;;;;;;;;;;;;x,,
gtfo_SLG_desc;슬랑오르에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_PRK_title;페락 독립 허가;;;;;;;;;;;;x,,
gtfo_PRK_desc;페락에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_PHG_title;파항 독립 허가;;;;;;;;;;;;x,,
gtfo_PHG_desc;파항에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_FRO_title;페로 독립 허가;;;;;;;;;;;;x,,
gtfo_FRO_desc;페로에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_NCT_title;뇌샤텔 독립 허가;;;;;;;;;;;;x,,
gtfo_NCT_desc;뇌샤텔에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_HBY_title;호뵤 독립 허가;;;;;;;;;;;;x,,
gtfo_HBY_desc;호뵤에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_QAT_title;카타르 독립 허가;;;;;;;;;;;;x,,
gtfo_QAT_desc;카타르에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_BRY_title;부랴트 독립 허가;;;;;;;;;;;;x,,
gtfo_BRY_desc;부랴트에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_MLD_title;몰디브 독립 허가;;;;;;;;;;;;x,,
gtfo_MLD_desc;몰디브에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_KAR_title;카렌 독립 허가;;;;;;;;;;;;x,,
gtfo_KAR_desc;카렌에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_PAK_title;파키스탄 독립 허가;;;;;;;;;;;;x,,
gtfo_PAK_desc;파키스탄에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_CRL_title;치트랄 독립 허가;;;;;;;;;;;;x,,
gtfo_CRL_desc;치트랄에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_RDL_title;아르달란 독립 허가;;;;;;;;;;;;x,,
gtfo_RDL_desc;아르달란에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_BTL_title;비틀리스 독립 허가;;;;;;;;;;;;x,,
gtfo_BTL_desc;비틀리스에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
gtfo_BDN_title;바흐디난 독립 허가;;;;;;;;;;;;x,,
gtfo_BDN_desc;바흐디난에서의 지배를 끝낼 때가 왔습니다.;;;;;;;;;;;;x
